contest-tmp2m-14d__tmp2m,index
28.830619746918046,375734
28.866847726809738,375735
28.9729822866243,375736
29.00692465714792,375737
29.21547941920585,375738
29.326367467315663,375739
29.05746376506761,375740
28.83310258658605,375741
28.932781596369182,375742
28.957751051847822,375743
28.885572650339668,375744
29.26623884045955,375745
28.91970733267442,375746
28.626928724117874,375747
28.48874837289543,375748
28.50619810291221,375749
28.06005207547389,375750
27.99916851939645,375751
27.509311017012237,375752
27.15695346100108,375753
26.949856439207338,375754
27.102878246163414,375755
27.01046848319868,375756
26.76328870159989,375757
26.39426192179019,375758
25.980029835258392,375759
25.6069259670021,375760
25.540394441461217,375761
25.630509240591095,375762
25.288258238195453,375763
25.37094895756161,375764
25.532085679335864,375765
25.518676984929584,375766
25.53101033600376,375767
25.600011223638717,375768
25.663347586768054,375769
25.22475765580259,375770
25.105889980665893,375771
25.191071686124502,375772
25.27446868863231,375773
25.385765894835146,375774
25.30465407658326,375775
25.4913078754154,375776
25.042360211717693,375777
24.802065981101265,375778
24.59876214856186,375779
24.4017580505853,375780
24.385529378773214,375781
24.30355899447605,375782
23.834316037099626,375783
23.300095838269073,375784
23.533364114063744,375785
23.260056499838697,375786
23.010349805472856,375787
22.571216315705783,375788
22.716133608665473,375789
21.739255536368887,375790
21.528023804125837,375791
21.033803922412403,375792
20.321698138401757,375793
19.918571253645837,375794
28.7200628663129,375795
28.71307826034581,375796
28.847427159761082,375797
28.900564092652985,375798
29.06066709951324,375799
29.040312033265423,375800
28.76395090635549,375801
28.522124514501115,375802
28.49640448887442,375803
28.54431426386202,375804
28.50561582572584,375805
28.83939399716394,375806
28.747210167198887,375807
28.548751993695646,375808
28.41816376022541,375809
28.36772411029085,375810
27.952095194597746,375811
27.85356745100887,375812
27.236187899262063,375813
27.205323059598868,375814
27.159758871000918,375815
27.324374838423296,375816
27.06067457297172,375817
26.86452044963812,375818
26.51411978131614,375819
25.999341009472346,375820
25.73442334681272,375821
25.417663489599136,375822
25.475106705039934,375823
25.106930293780124,375824
25.175174264688167,375825
25.18812521762561,375826
25.28699588880204,375827
25.28269808331538,375828
25.31351862306451,375829
25.405774266941535,375830
25.28623092967564,375831
25.054840556314957,375832
25.20521807527419,375833
25.24684025294007,375834
25.380816009455685,375835
25.36275297340015,375836
25.471021091031872,375837
25.05642143663661,375838
24.809010868559227,375839
24.600015734523396,375840
24.422344554204784,375841
24.37752259946072,375842
24.23858984272445,375843
23.945136941574475,375844
23.687626192208683,375845
24.024177107703764,375846
23.492748492276746,375847
23.468160569257975,375848
23.403031587335022,375849
23.051662412537667,375850
22.607113081955163,375851
22.162799933943347,375852
21.87072547934133,375853
21.345696271707425,375854
20.80657206538342,375855
29.276292315836827,375856
29.17197084503414,375857
29.26260622777636,375858
29.264127054016626,375859
29.34316144211084,375860
29.301024592555564,375861
29.087560926439096,375862
28.978077168165896,375863
28.825553382457997,375864
28.92781375618904,375865
28.965340393840165,375866
29.11888907243258,375867
28.833343440451813,375868
28.457202717236783,375869
28.29228242406805,375870
28.236235606862806,375871
27.94205955055247,375872
27.793128639745987,375873
27.234883420685378,375874
27.054620123374548,375875
27.074781094051446,375876
27.225402786965674,375877
26.85029595139838,375878
26.77905615238558,375879
26.091178166364102,375880
25.893428041984862,375881
25.87290931383859,375882
25.403671024294113,375883
25.573810278448832,375884
25.252665143115678,375885
25.085126607712482,375886
25.194686617628577,375887
25.342787721891,375888
25.558932824747444,375889
25.59774579405439,375890
25.56447696077339,375891
25.344559574484038,375892
25.053325579075363,375893
25.459042745644894,375894
25.511550475957648,375895
25.49161854394859,375896
25.402740984646044,375897
25.42792947363094,375898
25.197669077741722,375899
24.918749556451104,375900
24.92548703180981,375901
24.76860360800859,375902
24.684521870835198,375903
24.382961922951182,375904
24.24000378021472,375905
23.781255994942768,375906
24.029157648142956,375907
23.82521579510842,375908
23.385078168561563,375909
22.844979565853578,375910
22.338980966030363,375911
21.643627221782367,375912
21.221118780430402,375913
20.894421090271067,375914
20.29840531189518,375915
19.912579570752655,375916
28.67858563328048,375917
28.73874990976708,375918
28.879312091314546,375919
28.80239446534449,375920
28.923501978885838,375921
28.907380509051336,375922
28.631470325974533,375923
28.34005015163666,375924
28.329743619760166,375925
28.45609730707406,375926
28.460792805188248,375927
28.736321154214238,375928
28.39205482531588,375929
28.109147815952838,375930
27.973778046630514,375931
27.892773695197548,375932
27.526319906364506,375933
27.31055015616414,375934
26.705889483577835,375935
26.51574796185389,375936
26.689097024444095,375937
26.74788999533132,375938
26.447375272544377,375939
26.38934517091684,375940
25.707235202043876,375941
25.39457890544611,375942
25.264450375148158,375943
24.833136935032826,375944
24.97891112672096,375945
24.666287404189234,375946
24.51199686518953,375947
24.524437881296535,375948
24.600552650992768,375949
24.837248044000944,375950
24.86740132691307,375951
24.819401246151074,375952
24.929439432629803,375953
24.65501856880155,375954
24.99051342397823,375955
25.086153725072364,375956
25.08032729050163,375957
24.953815857711362,375958
24.991397728138992,375959
24.717204692156912,375960
24.479688208903355,375961
24.43728096327621,375962
24.245101540718252,375963
24.162300399850693,375964
23.87742794036015,375965
23.68744794098805,375966
23.624034908106324,375967
23.653942947805746,375968
23.268340356430485,375969
23.042221532790222,375970
22.660095454373618,375971
22.0988898543809,375972
21.47440382016123,375973
21.222211982305566,375974
20.83808792202342,375975
20.41979442029458,375976
19.81805292777028,375977
28.35666342506147,375978
28.36613362700814,375979
28.525614850575266,375980
28.55404129322801,375981
28.616432526113385,375982
28.15014244903739,375983
27.758825268060377,375984
27.519934070101613,375985
27.529341216190346,375986
27.40021766814732,375987
27.302759053677732,375988
27.639039761355093,375989
27.645953150788614,375990
27.334361931105946,375991
27.16450872567782,375992
27.103080899292195,375993
26.658468352134946,375994
26.436162491400296,375995
25.998966749235137,375996
26.029316087584903,375997
26.11939654694754,375998
26.04240817123116,375999
26.043222666138377,376000
25.768705125915517,376001
25.29868053589678,376002
25.014901547881777,376003
24.828147491489858,376004
24.748384125358598,376005
24.63196569197555,376006
24.433648962344364,376007
24.48572726230293,376008
24.545806013706283,376009
24.45118408800647,376010
24.68751823947798,376011
24.93004239061031,376012
24.890963883870995,376013
24.76593003524829,376014
24.453715783514667,376015
24.69539469088764,376016
24.812141669479075,376017
24.856182291842998,376018
24.796131750011938,376019
24.74029659960118,376020
24.473546526475758,376021
24.169269082110333,376022
24.108231661177825,376023
23.936778226228427,376024
23.801467136705043,376025
23.40289913609152,376026
23.37214450652803,376027
22.98915934936898,376028
23.064508644366498,376029
23.28317440670105,376030
22.61056409188984,376031
22.37193447651009,376032
22.358732976011538,376033
22.05638346436092,376034
21.598469601162947,376035
21.105135859682036,376036
20.734519774784417,376037
20.41513930669703,376038
29.08456303313517,376039
28.929829900247,376040
29.040521703366153,376041
29.020843681154815,376042
29.135972050405258,376043
29.12010273748774,376044
29.040635831165446,376045
28.96180532459107,376046
28.796149516298556,376047
28.788546853630123,376048
28.809317007014442,376049
28.863365655911593,376050
28.71523081770124,376051
28.405602366195353,376052
28.336289433234015,376053
28.263007751507757,376054
27.98149639577423,376055
27.729034196396242,376056
27.27496387092833,376057
26.837606270288234,376058
27.217239323899776,376059
26.99768704462781,376060
26.74806338342455,376061
26.690373880070865,376062
25.998779055665413,376063
25.26962073465154,376064
25.169018991433518,376065
25.298295982405534,376066
25.56039163042874,376067
25.08281386759586,376068
25.181421069931957,376069
25.288547040034018,376070
25.463738565275662,376071
25.549155285422103,376072
25.66285931431935,376073
25.69411341260343,376074
25.550620065981775,376075
25.460688300739093,376076
25.706632793672753,376077
25.75016554126526,376078
25.641086107991242,376079
25.512687195911013,376080
25.61648826662443,376081
25.337742356302925,376082
25.015101717910312,376083
24.983167739607353,376084
24.831707892317155,376085
24.78162997344228,376086
24.723139902396753,376087
24.502646096005293,376088
